Name,US release Date,mcu_phase,Director,Producer,movie_duration,IMDB rating,metascore,tomato_meter,audience_score,Oscar Nomination,Oscar won,production_budget,opening_weekend,domestic_box_office,worldwide_box_office,IMDB rating %,metascore %,tomato_meter %,audience_score %,Andrew Garfield,Angela Bassett,Angelina Jolie,Anthony Hopkins,Anthony Mackie,Awkwafina,Barry Keoghan,Ben Kingsley,Ben Mendelsohn,Benedict Cumberbatch,Benedict Wong,Bradley Cooper,Brian Tyree Henry,Brie Larson,Cate Blanchett,Chadwick Boseman,Chiswetel Ejiofor,Chris Evans,Chris Hemsworth,Chris Pratt,Christian Bale,Chukwudi Iwuji,Corey Stall,Danai Gurira,Dave Bautista,David Harbour,Don Cheadle,Edward Norton,Elizabeth Olsen,Evangeline Lilly,Florence Pugh,Gemma Chan,Guy Pearce,Gweneth Paltrow,Hugo Weaving,Iman Vellani,Jake Gyllenhaal,Jeremy Renner,Jon Favreau,Jonathan Majors,Josh Brolin,Karen Gillan,Kathryn Newton,Kit Harington,Kumail Nanjiani,Lauren Ridloff,Letitia Wright,Lia McHugh,Liv Tyler,Lupita Nyong'o,Ma Dong-seok,Mark Ruffalo,Martin Freeman,Michael B. Jordan,Michael Douglas,Michael Keaton,Micheal Pena,Michelle Pfeiffer,Mickey Rourke,Natalie Portman,Paul Bettany,Paul Rudd,Pom Klementieff,Racheal McAdams,Rachel Weisz,Richard Madden,Robert Downey Jr.,Salma Hayek,Samuel L. Jackson,Scarlett Johansson,Sebastian Stan,Simu Liu,Tenoch Huerta,Terrence Howard,Tessa Thompson,Teyonah Parris,Tim Roth,Toby Maguire,Tom Hiddleston,Tom Holland,Tony Leung Chiu-wai,Vin Diesel,Winston Duke,Xochitl Gomez,Zendaya,Zoe Saldana,Action,Adventure,Comedy,Drama,Fantasy,Horror,Romance,Sci-Fi,Time Since Last Release
Captain-Marvel,2019-03-08,3,Anna Boden and Ryan Fleck,Kevin Feige,124,6.8,64.0,79,45,0.0,0.0,"175,000,000","153,433,423","426,829,839","1,129,727,388",0.6799999999999999,0.64,0.79,0.45,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,245
Avengers:Endgame,2019-04-26,3,Anthony and Joe Russo,Kevin Feige,181,8.4,78.0,94,90,1.0,0.0,"400,000,000","357,115,007","858,373,000","2,797,800,564",0.8400000000000001,0.78,0.94,0.9,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,49
Spider-Man:Far From Home,2019-07-02,3,Jon Watts,Kevin Feige and Amy Pascal,129,7.5,69.0,90,95,0.0,0.0,"160,000,000","92,579,212","390,532,085","1,132,532,832",0.75,0.69,0.9,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,67
Black Widow,2021-07-09,4,Cate Shortland,Kevin Feige,133,6.7,68.0,79,91,0.0,0.0,"200,000,000","80,366,312","183,651,655","379,751,655",0.67,0.68,0.79,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,738
Shang-Chi and the Legend of the Ten Rings,2021-09-03,4,Destin Daniel Cretton,Kevin Feige and Jonathan Schwartz,133,7.4,71.0,92,98,1.0,0.0,"150,000,000","75,388,688","224,543,292","432,243,292",0.74,0.71,0.92,0.98,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,56
Eternals,2021-11-05,4,Chloe Zhao,Kevin Feige and Nate Moore,157,6.3,52.0,47,78,0.0,0.0,"200,000,000","71,297,219","164,870,264","402,064,929",0.63,0.52,0.47,0.78,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,63
Spider-Man: No Way Home,2021-12-17,4,Jon Watts,Kevin Feige and Amy Pascal,148,8.2,71.0,93,98,3.0,0.0,"200,000,000","260,138,569","803,975,784","1,891,108,035",0.82,0.71,0.93,0.98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,42
Doctor Strange in the Multiverse of Madness,2022-05-06,4,Sam Raimi,Kevin Feige,126,6.9,60.0,73,85,0.0,0.0,"294,500,000","187,420,998","411,331,607","955,775,804",0.6900000000000001,0.6,0.73,0.85,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,140
Thor: Love and Thunder,2022-07-08,4,Taika Waititi,Kevin Feige and Brad Winderbaum,118,6.2,57.0,63,76,0.0,0.0,"250,000,000","144,165,107","343,256,830","760,928,081",0.62,0.57,0.63,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,63
Black Panther: Wakanda Forever,2022-11-11,4,Ryan Coogler,Kevin Feige and Nate Moore,161,6.7,67.0,83,94,5.0,1.0,"200,000,000","181,339,761","453,829,060","859,208,836",0.67,0.67,0.83,0.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,126
Ant-Man and the Wasp: Quantumania,2023-02-17,4,Peyton Reed,Kevin Feige and Stephen Broussard,124,6.1,48.0,46,82,0.0,0.0,"200,000,000","106,109,650","214,504,909","476,071,180",0.61,0.48,0.46,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,98
Guardians of the Galaxy Vol. 3,2023-05-05,4,James Gunn,Kevin Feige,150,7.9,64.0,82,94,1.0,0.0,"250,000,000","118,414,021","358,995,815","845,555,777",0.79,0.64,0.82,0.94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,77
The Marvels,2023-11-10,4,Nia DaCosta,Kevin Feige,105,5.6,50.0,62,82,0.0,0.0,"270,000,000","46,110,859","84,500,223","206,097,335",0.5599999999999999,0.5,0.62,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,189
