Name,US release Date,mcu_phase,Director,Producer,movie_duration,IMDB rating,metascore,tomato_meter,audience_score,Oscar Nomination,Oscar won,production_budget,opening_weekend,domestic_box_office,worldwide_box_office,IMDB rating %,metascore %,tomato_meter %,audience_score %,Andrew Garfield,Angela Bassett,Angelina Jolie,Anthony Hopkins,Awkwafina,Barry Keoghan,Ben Kingsley,Ben Mendelsohn,Benedict Cumberbatch,Benedict Wong,Bradely Cooper,Bradley Cooper,Brian Tyree Henry,Brie Larson,Cate Blanchett,Chadwick Boseman,Chiswetel Ejiofor,Chris Evans,Chris Hemsworth,Chris Patt,Chris Pratt,Christian Bale,Chukwudi Iwuji,Corey Stall,Danai Gurira,Dave Bautista,David Harbour,Edward Norton,Elizabeth Olsen,Evangeline Lilly,Florence Pugh,Gemma Chan,Guy Pearce,Gweneth Paltrow,Hugo Weaving,Iman Vellani,Jake Gyllenhaal,Jeremy Renner,Jon Favreau,Jonathan Majors,Josh Brolin,Kathryn Newton,Kit Harington,Kumail Nanjiani,Lauren Ridloff,Letitia Wright,Lia McHugh,Liv Tyler,Lupita Nyong'o,Ma Dong-seok,Mark Ruffalo,Martin Freeman,Michael B. Jordan,Michael Douglas,Michael Keaton,Micheal Pena,Michelle Pfeiffer,Mickey Rourke,Natalie Portman,Paul Rudd,Pom Klementieff,Racheal McAdams,Rachel Weisz,Richard Madden,Robert Downey Jr.,Salma Hayek,Samuel L. Jackson,Scarlett Johansson,Sebastian Stan,Simu Liu,Tenoch Huerta,Terrence Howard,Tessa Thompson,Teyonah Parris,Tim Roth,Toby Maguire,Tom Hiddleston,Tom Holland,Tony Leung Chiu-wai,Vin Diesel,Winston Duke,Xochitl Gomez,Zendaya,Zoe Saldana,Action,Adventure,Comedy,Drama,Fantasy,Horror,Romance,Sci-Fi,Time Since Last Release,year,inflation_adjusted_production_budget,inflation_adjusted_worldwide_box_office,inflation_adjusted_domestic_box_office,inflation_adjusted_opening_weekend
Captain-Marvel,2019-03-08,3,Anna Boden and Ryan Fleck,Kevin Feige,124,6.8,64.0,79,45,0.0,0.0,175000000,153433423,426829839,1129727388,0.6799999999999999,0.64,0.79,0.45,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,245,2019,220403022.67002517,1422830463.4760704,537569066.7506297,193241086.9017632
Avengers:Endgame,2019-04-26,3,Anthony and Joe Russo,Kevin Feige,181,8.4,78.0,94,90,1.0,0.0,400000000,357115007,858373000,2797800564,0.8400000000000001,0.78,0.94,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,49,2019,503778337.5314861,3523678292.191436,1081074307.3047857,449767011.33501256
Spider-Man:Far From Home,2019-07-02,3,Jon Watts,Kevin Feige and Amy Pascal,129,7.5,69.0,90,95,0.0,0.0,160000000,92579212,390532085,1132532832,0.75,0.69,0.9,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,67,2019,201511335.01259446,1426363768.2619646,491854011.33501256,116598503.77833752
Black Widow,2021-07-09,4,Cate Shortland,Kevin Feige,133,6.7,68.0,79,91,0.0,0.0,200000000,80366312,183651655,379751655,0.67,0.68,0.79,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,738,2021,232018561.4849188,440547163.57308584,213052964.03712296,93232380.51044084
Shang-Chi and the Legend of the Ten Rings,2021-09-03,4,Destin Daniel Cretton,Kevin Feige and Jonathan Schwartz,133,7.4,71.0,92,98,1.0,0.0,150000000,75388688,224543292,432243292,0.74,0.71,0.92,0.98,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,56,2021,174013921.1136891,501442334.10672855,260491058.00464037,87457874.70997679
Eternals,2021-11-05,4,Chloe Zhao,Kevin Feige and Nate Moore,157,6.3,52.0,47,78,0.0,0.0,200000000,71297219,164870264,402064929,0.63,0.52,0.47,0.78,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,63,2021,232018561.4849188,466432632.2505801,191264807.42459396,82711390.95127611
Spider-Man: No Way Home,2021-12-17,4,Jon Watts,Kevin Feige and Amy Pascal,148,8.2,71.0,93,98,3.0,0.0,200000000,260138569,803975784,1891108035,0.82,0.71,0.93,0.98,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,42,2021,232018561.4849188,2193860829.466357,932686524.361949,301784882.8306264
Doctor Strange in the Multiverse of Madness,2022-05-06,4,Sam Raimi,Kevin Feige,126,6.9,60.0,73,85,0.0,0.0,294500000,187420998,411331607,955775804,0.6900000000000001,0.6,0.73,0.85,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,140,2022,311310782.24101484,1010333830.8668077,434811423.89006346,198119448.20295984
Thor: Love and Thunder,2022-07-08,4,Taika Waititi,Kevin Feige and Brad Winderbaum,118,6.2,57.0,63,76,0.0,0.0,250000000,144165107,343256830,760928081,0.62,0.57,0.63,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,63,2022,264270613.10782242,804363721.987315,362850771.6701903,152394404.8625793
Black Panther: Wakanda Forever,2022-11-11,4,Ryan Coogler,Kevin Feige and Nate Moore,161,6.7,67.0,83,94,5.0,1.0,200000000,181339761,453829060,859208836,0.67,0.67,0.83,0.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,126,2022,211416490.48625794,908254583.5095137,479734735.7293869,191691079.28118393
Ant-Man and the Wasp: Quantumania,2023-02-17,4,Peyton Reed,Kevin Feige and Stephen Broussard,124,6.1,48.0,46,82,0.0,0.0,200000000,106109650,214504909,476071180,0.61,0.48,0.46,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,98,2023,202429149.79757085,481853421.05263156,217110231.7813765,107398431.17408907
Guardians of the Galaxy Vol. 3,2023-05-05,4,James Gunn,Kevin Feige,150,7.9,64.0,82,94,1.0,0.0,250000000,118414021,358995815,845555777,0.79,0.64,0.82,0.94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,77,2023,253036437.24696356,855825685.2226721,363356088.05668014,119852247.9757085
The Marvels,2023-11-10,4,Nia DaCosta,Kevin Feige,105,5.6,50.0,62,82,0.0,0.0,270000000,46110859,84500223,206097335,0.5599999999999999,0.5,0.62,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,189,2023,273279352.22672063,208600541.4979757,85526541.4979757,46670909.91902834
